carat,clarity,color,cut,x dimension,y dimension,z dimension,depth,table,price
0.5,10,1,5,5.1,5.15,3.2,61.5,57.0,3000.0
0.7,9,2,4,5.7,5.7,3.52,62.0,59.0,4500.0
0.75,5,5,2,4.3,4.31,2.666,62.3,56.0,700.0
1.2,10,1,5,6.82,6.82,4.2,61.7,58.0,10000.0
0.9,1,7,1,6.0,6.0,3.7,61.7,57.0,2400.0
0.75,4,4,3,5.9,5.92,3.63,62.349999999999994,57.0,4200.0
0.5,10,1,5,5.1,5.1,3.2,61.5,57.0,3100.0
0.4,8,3,2,4.8,4.79,2.95,62.349999999999994,57.0,1500.0
0.75,5,6,2,4.3,4.32,2.666,62.3,57.0,5290.0
1.0,8,3,5,6.4,6.4,4.0,62.349999999999994,58.0,7500.0
0.5,4,0,4,5.21,5.21,3.21,61.6,58.0,5290.0
0.75,5,7,1,5.7,5.71,3.54,62.349999999999994,54.0,2000.0
1.1,8,2,4,6.6,6.6,4.08,62.349999999999994,57.0,9200.0
0.55,5,5,2,5.3,5.29,3.286,62.0,57.0,1800.0
0.5,4,4,3,5.2,5.2,3.2,62.349999999999994,56.0,2300.0
1.0,10,1,5,6.5,6.49,4.03,61.7,58.0,5290.0
0.6,5,5,2,5.5,5.52,3.41,62.349999999999994,57.0,2200.0
0.7,1,7,1,5.79,5.79,3.57,61.6,57.0,2100.0
0.75,8,3,5,6.1,6.15,3.9,61.8,57.0,6000.0
1.3,4,4,4,6.9,6.9,4.3,63.0,60.0,10500.0
1.4,10,1,2,7.1,7.12,4.402,62.4,59.0,11000.0
0.75,9,2,2,4.6,4.58,2.85,62.349999999999994,56.0,800.0
0.2,4,5,3,3.9,3.89,2.41,62.1,57.0,500.0
0.35,10,4,5,4.5,4.52,2.79,61.9,56.0,1300.0
0.75,9,4,2,4.6,4.6,2.83,62.2,57.0,1600.0
0.55,1,7,4,5.4,5.42,3.35,62.1,57.0,2500.0
0.75,8,1,5,6.7,6.71,4.15,62.349999999999994,58.0,7700.0
0.65,5,0,3,5.6,5.6,3.47,62.3,58.0,2900.0
1.5,9,3,2,7.2,7.18,4.464,62.7,59.0,10800.0
0.9,5,5,1,6.1,6.12,3.78,62.4,57.0,2600.0
0.75,8,2,4,6.9,6.9,4.27,62.2,57.0,9300.0
0.45,5,6,2,4.9,4.91,3.0380000000000003,62.1,56.0,1700.0
0.6,9,4,2,5.5,5.49,3.41,62.349999999999994,58.0,2800.0
0.75,4,3,3,5.3,5.31,3.3,62.0,57.0,2700.0
0.95,10,1,5,6.3,6.3,3.9,62.6,58.0,9400.0
1.05,5,7,2,6.6,6.58,4.092,62.7,57.0,8500.0
0.75,1,4,1,5.9,5.9,3.65,61.9,55.0,2200.0
0.45,5,5,5,4.8,4.82,3.01,62.1,56.0,1500.0
0.75,10,3,4,6.2,6.2,3.84,61.9,58.0,5900.0
0.85,8,6,2,5.8,5.82,3.596,62.2,55.0,4800.0
0.95,9,1,2,6.3,6.31,3.91,62.4,57.0,7300.0
0.75,4,2,1,6.0,6.01,3.7199999999999998,62.349999999999994,54.0,2700.0
0.35,10,4,3,4.6,4.6,2.85,62.0,57.0,1400.0
0.55,9,7,5,5.4,5.4,3.35,62.3,56.0,2600.0
0.75,1,1,2,4.8,4.79,2.96,61.8,57.0,1200.0
1.05,8,3,4,6.7,6.69,4.13,62.349999999999994,58.0,9500.0
0.75,5,4,2,5.7,5.71,3.5340000000000003,62.5,57.0,3800.0
0.65,4,0,3,5.6,5.58,3.48,62.6,57.0,3300.0
1.4,9,5,2,7.1,7.1,4.39,62.7,59.0,11200.0
0.3,1,6,1,4.4,4.41,2.728,62.1,55.0,600.0
0.5,8,2,4,5.2,5.22,3.224,62.349999999999994,58.0,2900.0
1.3,5,3,2,6.9,6.9,4.26,62.3,57.0,9900.0
0.75,9,1,2,6.8,6.81,4.21,62.349999999999994,59.0,8100.0
0.4,4,7,3,4.8,4.78,2.96,62.2,57.0,1400.0
1.15,10,4,5,6.5,6.5,4.02,62.0,58.0,9800.0
0.75,1,5,2,5.9,5.88,3.63,62.4,57.0,2100.0
0.55,5,6,1,5.3,5.3,3.29,62.1,54.0,1700.0
0.6,9,1,4,5.6,5.58,3.48,62.349999999999994,57.0,3700.0
0.75,4,3,3,6.1,6.12,3.7819999999999996,62.1,59.0,5000.0
0.35,1,4,5,4.5,4.52,2.79,62.0,57.0,900.0
0.75,8,5,2,5.8,5.81,3.596,62.3,56.0,4600.0
0.75,5,2,1,5.9,5.9,3.64,62.2,54.0,2500.0
1.05,10,6,4,6.6,6.59,4.09,62.349999999999994,58.0,9600.0
0.4,9,7,2,4.7,4.69,2.91,62.1,57.0,1800.0
0.55,1,4,3,5.3,5.3,3.28,62.4,57.0,2300.0
0.75,8,5,5,6.8,6.79,4.21,62.2,57.0,7900.0
0.7,5,1,2,5.7,5.69,3.53,62.5,57.0,4000.0
0.9,4,0,4,6.2,6.22,3.844,62.3,59.0,6600.0
0.5,9,3,2,5.2,5.2,3.22,62.6,58.0,3100.0
0.45,1,6,1,4.8,4.81,2.98,62.349999999999994,54.0,1100.0
1.2,8,2,4,6.8,6.8,4.2,62.7,58.0,10200.0
0.65,5,4,2,5.6,5.59,3.47,62.349999999999994,57.0,3500.0
0.55,9,1,3,5.4,5.4,3.34,62.4,56.0,2800.0
1.3,4,5,5,6.9,6.92,4.2780000000000005,62.8,59.0,9900.0
0.75,10,3,2,5.9,5.9,3.65,62.5,57.0,4700.0
0.75,1,2,1,6.0,6.0,3.71,62.6,55.0,2600.0
0.5,5,6,3,5.1,5.1,3.17,62.1,56.0,2200.0
0.85,9,2,4,6.0,6.03,3.73,62.349999999999994,58.0,6500.0
0.75,1,4,5,5.7,5.7,3.56,62.4,56.0,1900.0
1.1,5,5,1,6.6,6.58,4.092,62.5,54.0,7100.0
0.75,8,1,2,6.3,6.32,3.92,62.349999999999994,57.0,7800.0
0.9,4,6,3,6.2,6.2,3.85,62.2,59.0,6700.0
0.5,9,3,4,5.2,5.23,3.224,62.1,58.0,3200.0
0.75,1,0,2,5.5,5.5,3.41,62.3,56.0,2400.0
0.4,10,4,5,4.7,4.69,2.91,62.349999999999994,57.0,2600.0
1.15,9,5,1,6.7,6.71,4.14,62.6,57.0,9200.0
0.75,5,2,3,5.8,5.81,3.596,62.349999999999994,55.0,3000.0
0.7,4,6,4,5.7,5.68,3.53,62.7,58.0,4100.0
0.65,8,1,2,5.6,5.57,3.472,62.4,56.0,3600.0
1.25,10,4,5,6.8,6.8,4.21,62.349999999999994,59.0,10300.0
0.55,1,3,1,5.3,5.3,3.28,62.1,54.0,2300.0
0.6,5,2,4,5.5,5.49,3.41,62.2,57.0,3400.0
0.75,9,1,2,6.4,6.42,3.97,62.349999999999994,57.0,8000.0
0.75,4,6,3,5.9,5.88,3.65,62.3,57.0,4400.0
1.4,8,2,4,7.1,7.1,4.4,62.7,58.0,11500.0
0.75,1,3,2,5.9,5.89,3.6580000000000004,62.8,55.0,2500.0
0.45,5,5,5,4.8,4.79,2.97,62.349999999999994,56.0,1500.0
0.95,5,4,3,6.3,6.31,3.92,62.349999999999994,56.0,6800.0
1.05,1,0,4,6.7,6.68,4.154,62.5,57.0,7300.0
0.55,8,5,2,5.3,5.29,3.286,62.1,58.0,3100.0
0.65,5,6,1,5.6,5.59,3.46,62.349999999999994,56.0,3300.0
0.75,9,2,4,6.5,6.51,4.03,62.3,57.0,7700.0
0.8,10,3,2,6.0,6.0,3.72,62.349999999999994,57.0,5900.0
1.15,4,4,3,6.8,6.82,4.21,62.6,58.0,9300.0
0.75,9,1,1,6.4,6.4,3.97,62.4,57.0,7900.0
0.7,5,5,5,5.7,5.68,3.52,62.5,57.0,4200.0
1.3,1,6,4,7.0,7.0,4.33,62.7,56.0,9800.0
0.4,8,3,2,4.8,4.77,2.96,62.349999999999994,55.0,2700.0
0.75,5,2,2,5.6,5.58,3.472,62.2,59.0,2900.0
0.85,10,1,3,6.1,6.09,3.78,62.349999999999994,56.0,6500.0
1.2,9,4,1,6.9,6.89,4.2780000000000005,62.8,54.0,10100.0
0.5,4,5,4,5.1,5.1,3.16,62.3,57.0,3000.0
1.05,1,6,3,6.6,6.59,4.08,62.349999999999994,58.0,7400.0
0.45,9,2,2,4.9,4.9,3.02,62.4,55.0,2600.0
0.75,5,3,5,5.8,5.77,3.59,62.349999999999994,56.0,4600.0
0.75,10,4,4,6.3,6.28,3.9059999999999997,62.5,57.0,7200.0
0.6,8,5,2,5.5,5.49,3.41,62.1,56.0,3600.0
0.9,5,5,4,6.2,6.21,3.84,62.349999999999994,59.0,6800.0
1.1,8,2,3,6.7,6.7,4.15,62.2,56.0,9500.0
0.75,10,6,2,6.5,6.52,4.04,62.349999999999994,58.0,7600.0
0.45,4,3,1,4.9,4.88,3.0380000000000003,62.5,54.0,2100.0
0.7,9,4,5,5.7,5.7,3.54,62.4,55.0,4300.0
0.75,1,0,4,5.4,5.41,3.35,62.349999999999994,56.0,2200.0
0.8,9,5,3,6.0,6.0,3.72,62.7,57.0,6300.0
1.25,5,1,2,6.9,6.9,4.26,62.349999999999994,58.0,10400.0
0.55,4,6,1,5.4,5.39,3.33,62.6,57.0,2800.0
0.75,8,2,4,6.3,6.3,3.9,62.3,59.0,7800.0
0.65,1,4,3,5.6,5.57,3.47,62.349999999999994,56.0,3400.0
1.3,5,5,1,7.0,7.0,4.33,62.7,58.0,10200.0
0.5,8,6,5,5.2,5.19,3.224,62.8,55.0,3200.0
0.85,5,3,3,6.1,6.11,3.78,62.349999999999994,57.0,6400.0
0.75,1,4,2,5.6,5.6,3.46,62.4,59.0,2300.0
1.05,9,2,5,6.6,6.62,4.09,62.6,57.0,9300.0
0.4,4,3,1,4.7,4.7,2.92,62.1,56.0,2400.0
1.2,8,4,4,6.8,6.8,4.2,62.349999999999994,58.0,10100.0
0.75,1,5,3,5.9,5.88,3.65,62.5,57.0,2600.0
0.75,5,6,2,5.9,5.89,3.64,62.349999999999994,56.0,4500.0
0.95,9,4,5,6.4,6.41,3.97,62.349999999999994,58.0,6900.0
1.15,4,3,3,6.9,6.88,4.27,62.349999999999994,56.0,9600.0
0.55,8,5,1,5.3,5.3,3.29,62.3,59.0,3100.0
0.75,10,6,4,6.5,6.52,4.03,62.6,57.0,7700.0
0.65,5,2,2,5.6,5.58,3.47,62.349999999999994,56.0,3300.0
0.8,1,4,1,6.1,6.08,3.7819999999999996,62.5,57.0,4000.0
0.75,9,5,4,6.5,6.53,4.04,62.7,58.0,7900.0
1.3,4,0,3,7.1,7.1,4.39,62.349999999999994,56.0,10300.0
0.7,8,6,1,5.8,5.77,3.59,62.349999999999994,55.0,4300.0
0.4,5,3,4,4.8,4.78,2.976,62.4,58.0,2100.0
1.05,1,4,2,6.7,6.68,4.14,62.349999999999994,56.0,7400.0
0.85,9,5,1,6.2,6.21,3.844,62.2,57.0,6500.0
0.75,4,6,3,5.7,5.69,3.52,62.8,57.0,4100.0
0.45,8,4,5,4.9,4.9,3.03,62.1,59.0,2600.0
1.2,5,3,4,6.9,6.88,4.27,62.5,56.0,10100.0
0.5,8,6,1,5.1,5.12,3.162,62.6,57.0,3200.0
0.6,4,4,3,5.5,5.52,3.42,62.349999999999994,56.0,3500.0
1.4,9,5,2,7.2,7.2,4.45,62.7,58.0,12000.0
0.75,10,6,1,6.4,6.41,3.97,62.349999999999994,55.0,8000.0
0.75,4,3,4,5.9,5.91,3.66,62.3,59.0,4600.0
1.1,9,3,1,6.8,6.79,4.21,62.349999999999994,57.0,9400.0
0.4,4,6,4,4.7,4.69,2.914,62.2,55.0,2200.0
0.75,1,4,3,5.4,5.43,3.35,62.349999999999994,59.0,2400.0
0.75,8,5,2,5.9,5.89,3.6580000000000004,62.7,56.0,4400.0
1.35,5,2,5,7.2,7.2,4.46,62.8,57.0,10700.0
0.75,8,6,1,6.6,6.61,4.09,62.6,55.0,7900.0
0.9,5,4,4,6.3,6.31,3.9,62.349999999999994,58.0,6900.0
0.6,10,5,3,5.5,5.49,3.41,62.349999999999994,56.0,3600.0
0.75,1,6,5,5.7,5.7,3.53,62.4,57.0,2500.0
0.85,9,3,4,6.2,6.2,3.84,62.349999999999994,59.0,6600.0
1.25,5,4,1,6.9,6.91,4.2780000000000005,62.3,58.0,10500.0
0.5,8,5,3,5.2,5.2,3.22,62.1,57.0,3100.0
0.95,5,1,2,6.4,6.38,3.96,62.349999999999994,56.0,7100.0
0.75,10,6,3,6.4,6.4,3.98,62.2,58.0,7600.0
0.45,8,2,4,4.8,4.81,2.976,62.5,55.0,2500.0
1.3,4,4,5,7.0,7.01,4.34,62.349999999999994,57.0,9900.0
0.75,9,5,1,6.6,6.62,4.092,62.6,58.0,8100.0
0.7,5,6,3,5.8,5.77,3.58,62.349999999999994,56.0,4200.0
0.55,8,3,2,5.4,5.38,3.3480000000000003,62.4,59.0,3300.0
1.2,1,4,4,6.8,6.81,4.21,62.7,57.0,10100.0
1.05,9,3,3,6.6,6.65,4.11,62.349999999999994,58.0,9200.0
0.35,4,6,4,4.5,4.49,2.79,62.3,56.0,2100.0
0.8,8,5,1,6.0,6.01,3.72,62.349999999999994,58.0,4900.0
0.75,8,5,2,6.5,6.52,4.03,62.6,57.0,7900.0
0.5,5,2,4,5.1,5.11,3.162,62.5,55.0,2900.0
1.35,1,6,5,7.1,7.12,4.4,62.349999999999994,56.0,9900.0
0.65,5,3,3,5.5,5.5,3.41,62.349999999999994,57.0,3400.0
1.15,8,4,4,6.8,6.85,4.23,62.7,57.0,9800.0
0.4,5,5,1,4.7,4.7,2.91,62.1,58.0,2000.0
0.75,9,2,2,6.3,6.3,3.9,62.349999999999994,58.0,7700.0
0.95,4,4,5,6.4,6.42,3.96,62.349999999999994,56.0,7100.0
0.45,4,3,3,4.9,4.89,3.0380000000000003,62.4,59.0,2300.0
1.25,9,5,2,6.9,6.9,4.27,62.349999999999994,55.0,10400.0
0.85,5,2,1,6.1,6.13,3.78,62.349999999999994,58.0,6300.0
0.75,8,4,3,6.4,6.43,3.97,62.5,57.0,7500.0
