carat,clarity,cut,y dimension,price
0.5,10,5,5.15,3000.0
0.7,9,4,5.7,4500.0
0.75,5,2,4.31,700.0
1.2,10,5,6.82,10000.0
0.9,1,1,6.0,2400.0
0.75,4,3,5.92,4200.0
0.5,10,5,5.1,3100.0
0.4,8,2,4.79,1500.0
0.75,5,2,4.32,5290.0
1.0,8,5,6.4,7500.0
0.5,4,4,5.21,5290.0
0.75,5,1,5.71,2000.0
1.1,8,4,6.6,9200.0
0.55,5,2,5.29,1800.0
0.5,4,3,5.2,2300.0
1.0,10,5,6.49,5290.0
0.6,5,2,5.52,2200.0
0.7,1,1,5.79,2100.0
0.75,8,5,6.15,6000.0
1.3,4,4,6.9,10500.0
1.4,10,2,7.12,11000.0
0.75,9,2,4.58,800.0
0.2,4,3,3.89,500.0
0.35,10,5,4.52,1300.0
0.75,9,2,4.6,1600.0
0.55,1,4,5.42,2500.0
0.75,8,5,6.71,7700.0
0.65,5,3,5.6,2900.0
1.5,9,2,7.18,10800.0
0.9,5,1,6.12,2600.0
0.75,8,4,6.9,9300.0
0.45,5,2,4.91,1700.0
0.6,9,2,5.49,2800.0
0.75,4,3,5.31,2700.0
0.95,10,5,6.3,9400.0
1.05,5,2,6.58,8500.0
0.75,1,1,5.9,2200.0
0.45,5,5,4.82,1500.0
0.75,10,4,6.2,5900.0
0.85,8,2,5.82,4800.0
0.95,9,2,6.31,7300.0
0.75,4,1,6.01,2700.0
0.35,10,3,4.6,1400.0
0.55,9,5,5.4,2600.0
0.75,1,2,4.79,1200.0
1.05,8,4,6.69,9500.0
0.75,5,2,5.71,3800.0
0.65,4,3,5.58,3300.0
1.4,9,2,7.1,11200.0
0.3,1,1,4.41,600.0
0.5,8,4,5.22,2900.0
1.3,5,2,6.9,9900.0
0.75,9,2,6.81,8100.0
0.4,4,3,4.78,1400.0
1.15,10,5,6.5,9800.0
0.75,1,2,5.88,2100.0
0.55,5,1,5.3,1700.0
0.6,9,4,5.58,3700.0
0.75,4,3,6.12,5000.0
0.35,1,5,4.52,900.0
0.75,8,2,5.81,4600.0
0.75,5,1,5.9,2500.0
1.05,10,4,6.59,9600.0
0.4,9,2,4.69,1800.0
0.55,1,3,5.3,2300.0
0.75,8,5,6.79,7900.0
0.7,5,2,5.69,4000.0
0.9,4,4,6.22,6600.0
0.5,9,2,5.2,3100.0
0.45,1,1,4.81,1100.0
1.2,8,4,6.8,10200.0
0.65,5,2,5.59,3500.0
0.55,9,3,5.4,2800.0
1.3,4,5,6.92,9900.0
0.75,10,2,5.9,4700.0
0.75,1,1,6.0,2600.0
0.5,5,3,5.1,2200.0
0.85,9,4,6.03,6500.0
0.75,1,5,5.7,1900.0
1.1,5,1,6.58,7100.0
0.75,8,2,6.32,7800.0
0.9,4,3,6.2,6700.0
0.5,9,4,5.23,3200.0
0.75,1,2,5.5,2400.0
0.4,10,5,4.69,2600.0
1.15,9,1,6.71,9200.0
0.75,5,3,5.81,3000.0
0.7,4,4,5.68,4100.0
0.65,8,2,5.57,3600.0
1.25,10,5,6.8,10300.0
0.55,1,1,5.3,2300.0
0.6,5,4,5.49,3400.0
0.75,9,2,6.42,8000.0
0.75,4,3,5.88,4400.0
1.4,8,4,7.1,11500.0
0.75,1,2,5.89,2500.0
0.45,5,5,4.79,1500.0
0.95,5,3,6.31,6800.0
1.05,1,4,6.68,7300.0
0.55,8,2,5.29,3100.0
0.65,5,1,5.59,3300.0
0.75,9,4,6.51,7700.0
0.8,10,2,6.0,5900.0
1.15,4,3,6.82,9300.0
0.75,9,1,6.4,7900.0
0.7,5,5,5.68,4200.0
1.3,1,4,7.0,9800.0
0.4,8,2,4.77,2700.0
0.75,5,2,5.58,2900.0
0.85,10,3,6.09,6500.0
1.2,9,1,6.89,10100.0
0.5,4,4,5.1,3000.0
1.05,1,3,6.59,7400.0
0.45,9,2,4.9,2600.0
0.75,5,5,5.77,4600.0
0.75,10,4,6.28,7200.0
0.6,8,2,5.49,3600.0
0.9,5,4,6.21,6800.0
1.1,8,3,6.7,9500.0
0.75,10,2,6.52,7600.0
0.45,4,1,4.88,2100.0
0.7,9,5,5.7,4300.0
0.75,1,4,5.41,2200.0
0.8,9,3,6.0,6300.0
1.25,5,2,6.9,10400.0
0.55,4,1,5.39,2800.0
0.75,8,4,6.3,7800.0
0.65,1,3,5.57,3400.0
1.3,5,1,7.0,10200.0
0.5,8,5,5.19,3200.0
0.85,5,3,6.11,6400.0
0.75,1,2,5.6,2300.0
1.05,9,5,6.62,9300.0
0.4,4,1,4.7,2400.0
1.2,8,4,6.8,10100.0
0.75,1,3,5.88,2600.0
0.75,5,2,5.89,4500.0
0.95,9,5,6.41,6900.0
1.15,4,3,6.88,9600.0
0.55,8,1,5.3,3100.0
0.75,10,4,6.52,7700.0
0.65,5,2,5.58,3300.0
0.8,1,1,6.08,4000.0
0.75,9,4,6.53,7900.0
1.3,4,3,7.1,10300.0
0.7,8,1,5.77,4300.0
0.4,5,4,4.78,2100.0
1.05,1,2,6.68,7400.0
0.85,9,1,6.21,6500.0
0.75,4,3,5.69,4100.0
0.45,8,5,4.9,2600.0
1.2,5,4,6.88,10100.0
0.5,8,1,5.12,3200.0
0.6,4,3,5.52,3500.0
1.4,9,2,7.2,12000.0
0.75,10,1,6.41,8000.0
0.75,4,4,5.91,4600.0
1.1,9,1,6.79,9400.0
0.4,4,4,4.69,2200.0
0.75,1,3,5.43,2400.0
0.75,8,2,5.89,4400.0
1.35,5,5,7.2,10700.0
0.75,8,1,6.61,7900.0
0.9,5,4,6.31,6900.0
0.6,10,3,5.49,3600.0
0.75,1,5,5.7,2500.0
0.85,9,4,6.2,6600.0
1.25,5,1,6.91,10500.0
0.5,8,3,5.2,3100.0
0.95,5,2,6.38,7100.0
0.75,10,3,6.4,7600.0
0.45,8,4,4.81,2500.0
1.3,4,5,7.01,9900.0
0.75,9,1,6.62,8100.0
0.7,5,3,5.77,4200.0
0.55,8,2,5.38,3300.0
1.2,1,4,6.81,10100.0
1.05,9,3,6.65,9200.0
0.35,4,4,4.49,2100.0
0.8,8,1,6.01,4900.0
0.75,8,2,6.52,7900.0
0.5,5,4,5.11,2900.0
1.35,1,5,7.12,9900.0
0.65,5,3,5.5,3400.0
1.15,8,4,6.85,9800.0
0.4,5,1,4.7,2000.0
0.75,9,2,6.3,7700.0
0.95,4,5,6.42,7100.0
0.45,4,3,4.89,2300.0
1.25,9,2,6.9,10400.0
0.85,5,1,6.13,6300.0
0.75,8,3,6.43,7500.0
